	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3	non.4	qn.4	mn.4	vsn.4	non.5	qn.5	mn.5	vsn.5	non.6	qn.6	mn.6	vsn.6	non.7	qn.7	mn.7	vsn.7	non.8	qn.8	mn.8	vsn.8	non.9	qn.9	mn.9	vsn.9	non.10	qn.10	mn.10	vsn.10	non.11	qn.11	mn.11	vsn.11	non.12	qn.12	mn.12	vsn.12	non.13	qn.13	mn.13	vsn.13	non.14	qn.14	mn.14	vsn.14	non.15	qn.15	mn.15	vsn.15	non.16	qn.16	mn.16	vsn.16	non.17	qn.17	mn.17	vsn.17	non.18	qn.18	mn.18	vsn.18	non.19	qn.19	mn.19	vsn.19	non.20	qn.20	mn.20	vsn.20
50	0.00519480519480519	0.00519480519480519	0.00454545454545455	0.00909090909090909	0.00779220779220779	0.00909090909090909	0.00974025974025974	0.00844155844155844	0.0038961038961039	0.00649350649350649	0.00324675324675325	0.00584415584415584	0.00779220779220779	0.00649350649350649	0.00779220779220779	0.00649350649350649	0.00909090909090909	0.00974025974025974	0.00714285714285714	0.00714285714285714	0.00454545454545455	0.00714285714285714	0.00584415584415584	0.00649350649350649	0.00649350649350649	0.0038961038961039	0.00779220779220779	0.00649350649350649	0.00324675324675325	0.00324675324675325	0.0025974025974026	0.00324675324675325	0.00909090909090909	0.00649350649350649	0.00649350649350649	0.0142857142857143	0.00974025974025974	0.00519480519480519	0.00844155844155844	0.00519480519480519	0.0038961038961039	0.00324675324675325	0.0038961038961039	0.0038961038961039	0.00974025974025974	0.00779220779220779	0.00454545454545455	0.00519480519480519	0.00454545454545455	0.00324675324675325	0.0038961038961039	0.00844155844155844	0.00909090909090909	0.00584415584415584	0.0038961038961039	0.00649350649350649	0.00714285714285714	0.00584415584415584	0.00584415584415584	0.00714285714285714	0.00909090909090909	0.00519480519480519	0.00519480519480519	0.00714285714285714	0.00974025974025974	0.0038961038961039	0.00324675324675325	0.00649350649350649	0.00454545454545455	0.0025974025974026	0.00454545454545455	0.00779220779220779	0.0136363636363636	0.011038961038961	0.0136363636363636	0.0116883116883117	0.00974025974025974	0.00584415584415584	0.00714285714285714	0.00649350649350649
70	0.00702740688685875	0.0028109627547435	0.00491918482080112	0.005621925509487	0.0119465917076599	0.00702740688685875	0.00702740688685875	0.00913562895291637	0.0108564535585042	0.00542822677925211	0.00723763570566948	0.00663449939686369	0.0147575544624034	0.0119465917076599	0.0084328882642305	0.0133520730850316	0.0119465917076599	0.00773014757554462	0.005621925509487	0.00702740688685875	0.0084328882642305	0.0119465917076599	0.00773014757554462	0.00773014757554462	0.0060313630880579	0.00784077201447527	0.00542822677925211	0.00723763570566948	0.00983836964160225	0.00983836964160225	0.00913562895291637	0.00632466619817287	0.0133520730850316	0.0133520730850316	0.00773014757554462	0.0126493323963457	0.00542822677925211	0.00542822677925211	0.0060313630880579	0.00422195416164053	0.00773014757554462	0.0084328882642305	0.00702740688685875	0.00702740688685875	0.00422195416164053	0.00784077201447527	0.00542822677925211	0.00422195416164053	0.00983836964160225	0.00210822206605762	0.0084328882642305	0.00702740688685875	0.00542822677925211	0.00663449939686369	0.00422195416164053	0.00663449939686369	0.0140548137737175	0.00702740688685875	0.011243851018974	0.0105411103302881	0.00632466619817287	0.0084328882642305	0.00983836964160225	0.00773014757554462	0.00965018094089264	0.00482509047044632	0.0060313630880579	0.00542822677925211	0.0108564535585042	0.00422195416164053	0.00723763570566948	0.00422195416164053	0.00723763570566948	0.00301568154402895	0.00542822677925211	0.00422195416164053	0.0154602951510892	0.00702740688685875	0.00773014757554462	0.00913562895291637
80	0.00879120879120879	0.00586080586080586	0.00586080586080586	0.00952380952380952	0.0043956043956044	0.00659340659340659	0.00512820512820513	0.00659340659340659	0.00990675990675991	0.00407925407925408	0.00407925407925408	0.00524475524475524	0.0102564102564103	0.0117216117216117	0.00952380952380952	0.00805860805860806	0.0124542124542125	0.00952380952380952	0.00879120879120879	0.0146520146520147	0.0117216117216117	0.00952380952380952	0.00659340659340659	0.00805860805860806	0.00524475524475524	0.00291375291375291	0.0034965034965035	0.00407925407925408	0.0131868131868132	0.0124542124542125	0.00732600732600733	0.00659340659340659	0.0124542124542125	0.00805860805860806	0.0117216117216117	0.0139194139194139	0.00874125874125874	0.00874125874125874	0.00524475524475524	0.00466200466200466	0.0139194139194139	0.0146520146520147	0.0139194139194139	0.0146520146520147	0.00641025641025641	0.00874125874125874	0.00641025641025641	0.00699300699300699	0.010989010989011	0.00732600732600733	0.00805860805860806	0.00952380952380952	0.00466200466200466	0.00466200466200466	0.00524475524475524	0.00641025641025641	0.00952380952380952	0.00879120879120879	0.0102564102564103	0.00732600732600733	0.0146520146520147	0.0175824175824176	0.0146520146520147	0.0139194139194139	0.0134032634032634	0.0110722610722611	0.00641025641025641	0.0110722610722611	0.00932400932400932	0.00407925407925408	0.00466200466200466	0.00874125874125874	0.00641025641025641	0.00407925407925408	0.00407925407925408	0.00641025641025641	0.0161172161172161	0.0139194139194139	0.00732600732600733	0.00732600732600733
90	0.0122417750573833	0.0130068859984698	0.0122417750573833	0.0114766641162969	0.0145371078806427	0.0145371078806427	0.00841622035195103	0.0114766641162969	0.0118376550169109	0.00676437429537768	0.00676437429537768	0.00450958286358512	0.0221882172915073	0.0145371078806427	0.0145371078806427	0.0130068859984698	0.0107115531752104	0.00688599846977812	0.00306044376434583	0.00459066564651875	0.00841622035195103	0.00994644223412395	0.00994644223412395	0.0145371078806427	0.00732807215332582	0.00958286358511838	0.00901916572717024	0.0107102593010147	0.00918133129303749	0.00688599846977812	0.00765110941086458	0.0053557765876052	0.0145371078806427	0.0122417750573833	0.0107115531752104	0.00918133129303749	0.00620067643742954	0.00676437429537768	0.0101465614430665	0.0140924464487035	0.0145371078806427	0.0145371078806427	0.0145371078806427	0.0122417750573833	0.00507328072153326	0.00450958286358512	0.0028184892897407	0.0028184892897407	0.0145371078806427	0.0130068859984698	0.0130068859984698	0.0145371078806427	0.00901916572717024	0.00732807215332582	0.00620067643742954	0.0112739571589628	0.00841622035195103	0.00459066564651875	0.00918133129303749	0.00994644223412395	0.0175975516449885	0.0175975516449885	0.0153022188217292	0.0191277735271614	0.0101465614430665	0.0084554678692221	0.00507328072153326	0.00620067643742954	0.0084554678692221	0.00676437429537768	0.00507328072153326	0.0129650507328072	0.0118376550169109	0.0056369785794814	0.00676437429537768	0.0056369785794814	0.0114766641162969	0.0053557765876052	0.00306044376434583	0.00612088752869166
100	0.0176423416198877	0.0160384923817161	0.0176423416198877	0.0184442662389735	0.0184442662389735	0.0184442662389735	0.0200481154771451	0.0176423416198877	0.0125545851528384	0.0114628820960699	0.0169213973799127	0.0201965065502183	0.0200481154771451	0.0152365677626303	0.0160384923817161	0.0184442662389735	0.0184442662389735	0.0152365677626303	0.0160384923817161	0.0184442662389735	0.0216519647153168	0.0176423416198877	0.0176423416198877	0.0152365677626303	0.0125545851528384	0.0109170305676856	0.0158296943231441	0.0158296943231441	0.0184442662389735	0.0192461908580593	0.0200481154771451	0.0104250200481155	0.0296712109061748	0.0152365677626303	0.0152365677626303	0.0112269446672013	0.0120087336244541	0.0114628820960699	0.0169213973799127	0.013646288209607	0.0160384923817161	0.0184442662389735	0.0176423416198877	0.0112269446672013	0.0103711790393013	0.0120087336244541	0.0147379912663755	0.0125545851528384	0.0192461908580593	0.0152365677626303	0.0176423416198877	0.0120288692862871	0.0120087336244541	0.0109170305676856	0.0169213973799127	0.0141921397379913	0.0240577385725742	0.0168404170008019	0.0160384923817161	0.0104250200481155	0.0192461908580593	0.0176423416198877	0.0184442662389735	0.0120288692862871	0.0152838427947598	0.0114628820960699	0.0147379912663755	0.0141921397379913	0.0114628820960699	0.0109170305676856	0.0152838427947598	0.0125545851528384	0.0125545851528384	0.0120087336244541	0.0185589519650655	0.0141921397379913	0.0184442662389735	0.0184442662389735	0.0104250200481155	0.0184442662389735
