	non.1	qn.1	mn.1	vsn.1	non.2	qn.2	mn.2	vsn.2	non.3	qn.3	mn.3	vsn.3	non.4	qn.4	mn.4	vsn.4	non.5	qn.5	mn.5	vsn.5	non.6	qn.6	mn.6	vsn.6	non.7	qn.7	mn.7	vsn.7	non.8	qn.8	mn.8	vsn.8	non.9	qn.9	mn.9	vsn.9	non.10	qn.10	mn.10	vsn.10	non.11	qn.11	mn.11	vsn.11	non.12	qn.12	mn.12	vsn.12	non.13	qn.13	mn.13	vsn.13	non.14	qn.14	mn.14	vsn.14	non.15	qn.15	mn.15	vsn.15	non.16	qn.16	mn.16	vsn.16	non.17	qn.17	mn.17	vsn.17	non.18	qn.18	mn.18	vsn.18	non.19	qn.19	mn.19	vsn.19	non.20	qn.20	mn.20	vsn.20
50	0.00324675324675325	0.00324675324675325	0.00454545454545455	0.0025974025974026	0.00844155844155844	0.00844155844155844	0.00844155844155844	0.00584415584415584	0.0025974025974026	0.0038961038961039	0.0038961038961039	0.00454545454545455	0.00714285714285714	0.00649350649350649	0.00779220779220779	0.0038961038961039	0.0038961038961039	0.00454545454545455	0.00519480519480519	0.00584415584415584	0.00519480519480519	0.00454545454545455	0.0038961038961039	0.00649350649350649	0.0038961038961039	0.00519480519480519	0.00324675324675325	0.0038961038961039	0.00194805194805195	0.0012987012987013	0.00194805194805195	0.00324675324675325	0.00454545454545455	0.0025974025974026	0.0025974025974026	0.0038961038961039	0.0038961038961039	0.00714285714285714	0.00454545454545455	0.00454545454545455	0.0038961038961039	0.0025974025974026	0.0025974025974026	0.0025974025974026	0.00454545454545455	0.00519480519480519	0.00324675324675325	0.0038961038961039	0.0012987012987013	0.00324675324675325	0.000649350649350649	0.0038961038961039	0.00194805194805195	0.00324675324675325	0.00454545454545455	0.00194805194805195	0.00519480519480519	0.00454545454545455	0.00519480519480519	0.00454545454545455	0.0038961038961039	0.0038961038961039	0.00454545454545455	0.00584415584415584	0.0038961038961039	0.0038961038961039	0.00324675324675325	0.0038961038961039	0.0038961038961039	0.00454545454545455	0.00324675324675325	0.00454545454545455	0.00519480519480519	0.011038961038961	0.00454545454545455	0.0025974025974026	0.00519480519480519	0.00584415584415584	0.00649350649350649	0.00649350649350649
70	0.00351370344342937	0.00491918482080112	0.0028109627547435	0.00210822206605762	0.00491918482080112	0.00491918482080112	0.00421644413211525	0.00491918482080112	0.00422195416164053	0.00422195416164053	0.0060313630880579	0.00422195416164053	0.00983836964160225	0.00702740688685875	0.00702740688685875	0.00702740688685875	0.0133520730850316	0.0126493323963457	0.0119465917076599	0.0133520730850316	0.00351370344342937	0.00351370344342937	0.0028109627547435	0.005621925509487	0.00422195416164053	0.00361881785283474	0.00361881785283474	0.00482509047044632	0.005621925509487	0.0028109627547435	0.005621925509487	0.0028109627547435	0.00702740688685875	0.00773014757554462	0.00773014757554462	0.00773014757554462	0.00301568154402895	0.00482509047044632	0.00301568154402895	0.00422195416164053	0.00351370344342937	0.00491918482080112	0.00351370344342937	0.005621925509487	0.00422195416164053	0.00482509047044632	0.00361881785283474	0.00422195416164053	0.0084328882642305	0.0028109627547435	0.0028109627547435	0.00421644413211525	0.00422195416164053	0.00301568154402895	0.00301568154402895	0.00180940892641737	0.00491918482080112	0.00702740688685875	0.00491918482080112	0.00491918482080112	0.0161630358397751	0.00702740688685875	0.0105411103302881	0.00632466619817287	0.00241254523522316	0.00422195416164053	0.00422195416164053	0.00361881785283474	0.00301568154402895	0.00542822677925211	0.00301568154402895	0.00361881785283474	0.0060313630880579	0.00542822677925211	0.00542822677925211	0.00542822677925211	0.005621925509487	0.0154602951510892	0.0140548137737175	0.0147575544624034
80	0.00659340659340659	0.00659340659340659	0.00366300366300366	0.0043956043956044	0.00366300366300366	0.0043956043956044	0.0043956043956044	0.0043956043956044	0.00757575757575758	0.00524475524475524	0.00582750582750583	0.00524475524475524	0.0043956043956044	0.0146520146520147	0.0043956043956044	0.00659340659340659	0.00952380952380952	0.00586080586080586	0.00952380952380952	0.0131868131868132	0.00586080586080586	0.00586080586080586	0.0043956043956044	0.00732600732600733	0.00116550116550117	0.00407925407925408	0.00116550116550117	0.00174825174825175	0.00512820512820513	0.00879120879120879	0.00586080586080586	0.00586080586080586	0.00366300366300366	0.010989010989011	0.00586080586080586	0.00366300366300366	0.0034965034965035	0.00582750582750583	0.00466200466200466	0.00524475524475524	0.0146520146520147	0.010989010989011	0.00879120879120879	0.010989010989011	0.00757575757575758	0.00641025641025641	0.00524475524475524	0.00466200466200466	0.0043956043956044	0.00586080586080586	0.00293040293040293	0.0043956043956044	0.00291375291375291	0.00407925407925408	0.00174825174825175	0.0034965034965035	0.00732600732600733	0.00659340659340659	0.00659340659340659	0.00659340659340659	0.00952380952380952	0.00879120879120879	0.00805860805860806	0.00659340659340659	0.0034965034965035	0.00699300699300699	0.00291375291375291	0.00524475524475524	0.00407925407925408	0.0034965034965035	0.00291375291375291	0.00407925407925408	0.00407925407925408	0.00407925407925408	0.0034965034965035	0.00407925407925408	0.0139194139194139	0.00879120879120879	0.00879120879120879	0.00659340659340659
90	0.00459066564651875	0.00688599846977812	0.0107115531752104	0.00918133129303749	0.0053557765876052	0.00459066564651875	0.00459066564651875	0.00382555470543229	0.00450958286358512	0.0028184892897407	0.0028184892897407	0.00338218714768884	0.00765110941086458	0.0114766641162969	0.00612088752869166	0.00612088752869166	0.00382555470543229	0.00306044376434583	0.00229533282325937	0.00382555470543229	0.0053557765876052	0.00688599846977812	0.00459066564651875	0.00382555470543229	0.00225479143179256	0.0056369785794814	0.0028184892897407	0.00338218714768884	0.00459066564651875	0.00841622035195103	0.00382555470543229	0.00612088752869166	0.0130068859984698	0.00765110941086458	0.00841622035195103	0.00459066564651875	0.00338218714768884	0.00450958286358512	0.00450958286358512	0.00507328072153326	0.00688599846977812	0.00918133129303749	0.00612088752869166	0.0130068859984698	0.00225479143179256	0.0028184892897407	0.00225479143179256	0.0028184892897407	0.00688599846977812	0.0114766641162969	0.00459066564651875	0.00612088752869166	0.0028184892897407	0.00394588500563698	0.0028184892897407	0.00338218714768884	0.00918133129303749	0.00994644223412395	0.00382555470543229	0.00382555470543229	0.00994644223412395	0.0137719969395562	0.00688599846977812	0.00688599846977812	0.0101465614430665	0.00620067643742954	0.0084554678692221	0.00901916572717024	0.0056369785794814	0.00789177001127396	0.00901916572717024	0.0056369785794814	0.00507328072153326	0.0056369785794814	0.00338218714768884	0.00732807215332582	0.00612088752869166	0.00688599846977812	0.00459066564651875	0.00459066564651875
100	0.0112269446672013	0.00962309542902967	0.00641539695268645	0.00801924619085806	0.0136327185244587	0.0120288692862871	0.00641539695268645	0.0120288692862871	0.00491266375545852	0.00545851528384279	0.00873362445414847	0.00655021834061135	0.00721732157177225	0.00962309542902967	0.00561347233360064	0.00801924619085806	0.00882117080994387	0.00962309542902967	0.00641539695268645	0.0104250200481155	0.00721732157177225	0.00882117080994387	0.00561347233360064	0.00962309542902967	0.00327510917030568	0.00655021834061135	0.00709606986899563	0.00709606986899563	0.00721732157177225	0.00962309542902967	0.00561347233360064	0.00962309542902967	0.0104250200481155	0.00962309542902967	0.0104250200481155	0.00882117080994387	0.00545851528384279	0.00382096069868996	0.00382096069868996	0.00545851528384279	0.0144346431435445	0.0160384923817161	0.00561347233360064	0.0104250200481155	0.00491266375545852	0.00491266375545852	0.00873362445414847	0.00382096069868996	0.0128307939053729	0.00882117080994387	0.00962309542902967	0.0104250200481155	0.0027292576419214	0.00491266375545852	0.00327510917030568	0.00709606986899563	0.0104250200481155	0.0112269446672013	0.00561347233360064	0.0120288692862871	0.0136327185244587	0.00962309542902967	0.00801924619085806	0.00882117080994387	0.00491266375545852	0.00436681222707424	0.00873362445414847	0.00818777292576419	0.00491266375545852	0.00600436681222707	0.00382096069868996	0.00382096069868996	0.00327510917030568	0.00382096069868996	0.0027292576419214	0.00436681222707424	0.00801924619085806	0.00882117080994387	0.00561347233360064	0.0192461908580593
